"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"CONFIGURATION_POLE-THROW";"CONTACT_CURRENT_RATING";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"TE_PURCHASE_URL";
"R7";"CRCW06031K00FKEAC";"CRCW06031K00FKEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 100 1K0 1% ET1 ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW06031K00FKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R8";"CRCW0603100KFKEAC";"CRCW0603100KFKEAC";"RESC1608X55N";"Res Thick Film 0603 100K Ohm 1% 1/10W Â±100ppm/Â°C Molded SMD Paper T/R";"Unavailable";"";"";"";" Viscrcw0603100kfkeac Chip Res 0603 100k ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW0603100KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R9";"CRCW0603200KFKEAC";"CRCW0603200KFKEAC";"RESC1608X55N";"";"";"";"";"";" Standard Thick Film Chip Resistors ";"541-4027-1-ND";"https://www.digikey.com/product-detail/en/vishay-dale/CRCW0603200KFKEAC/541-4027-1-ND/7928710?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"Vishay";"";"";"CRCW0603200KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"";"";"";"";"";
"R10";"RC0603FR-071M87L";"RC0603FR-071M87L";"RESC1608X55N";"RES SMD 1.87M OHM 1% 1/10W 0603";"Unavailable";"";"";"";" Res Thick Film 0603 1.87M Ohm 1% 0.1W_1/10W_ ±100ppm/C Molded SMD Paper T/R ";"";"";"";"";"";"Yageo";"";"";"RC0603FR-071M87L";"";"";"";"1608 Yageo";"";"None";"";"";"";"";
"R11";"CRCW0603340KFKEAC";"CRCW0603340KFKEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 100 340K 1% ET1 ";"";"";"";"";"";"Vishay";"";"";"CRCW0603340KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R12";"RC0603FR-071M87L";"RC0603FR-071M87L";"RESC1608X55N";"RES SMD 1.87M OHM 1% 1/10W 0603";"Unavailable";"";"";"";" Res Thick Film 0603 1.87M Ohm 1% 0.1W_1/10W_ ±100ppm/C Molded SMD Paper T/R ";"";"";"";"";"";"Yageo";"";"";"RC0603FR-071M87L";"";"";"";"1608 Yageo";"";"None";"";"";"";"";
"R13";"CRCW0603200KFKEAC";"CRCW0603200KFKEAC";"RESC1608X55N";"";"";"";"";"";" Standard Thick Film Chip Resistors ";"541-4027-1-ND";"https://www.digikey.com/product-detail/en/vishay-dale/CRCW0603200KFKEAC/541-4027-1-ND/7928710?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"Vishay";"";"";"CRCW0603200KFKEAC";"";"";"";"1608 Rohm Semiconductor";"";"";"";"";"";"";
"R14";"CRCW06031K00FKEAC";"CRCW06031K00FKEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 100 1K0 1% ET1 ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW06031K00FKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R15";"CRCW06031K00FKEAC";"CRCW06031K00FKEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 100 1K0 1% ET1 ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW06031K00FKEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R16";"CRCW040210K0FKEDC";"CRCW040210K0FKEDC";"RESC1005X35N";"RES SMD 10K OHM 1% 1/16W 0402";"Unavailable";"";"";"";" Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW040210K0FKEDC";"";"";"";"1005 Yageo";"";"None";"";"";"";"";
"R17";"CRCW040210K0FKEDC";"CRCW040210K0FKEDC";"RESC1005X35N";"RES SMD 10K OHM 1% 1/16W 0402";"Unavailable";"";"";"";" Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW040210K0FKEDC";"";"";"";"1005 Yageo";"";"None";"";"";"";"";
"R18";"CR0201AFW-1000GAS";"CR0201AFW-1000GAS";"RESC0603X26N";"";"Unavailable";"";"";"";" ResA-AS 0201 100R 1% 50mW TC200 ";"";"";"";"";"";"Bourns";"";"";"CR0201AFW-1000GAS";"";"";"";"0603 Rohm Semiconductor";"";"None";"";"";"";"";
"R19";"CRCW06034K70JNEAC";"CRCW06034K70JNEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 200 4K7 5% ET1 ";"";"";"";"";"";"Vishay";"";"";"CRCW06034K70JNEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R20";"CR0201AFW-1000GAS";"CR0201AFW-1000GAS";"RESC0603X26N";"";"Unavailable";"";"";"";" ResA-AS 0201 100R 1% 50mW TC200 ";"";"";"";"";"";"Bourns";"";"";"CR0201AFW-1000GAS";"";"";"";"0603 Rohm Semiconductor";"";"None";"";"";"";"";
"R21";"CRCW06034K70JNEAC";"CRCW06034K70JNEAC";"RESC1608X55N";"";"Unavailable";"";"";"";" D11/CRCW0603-C 200 4K7 5% ET1 ";"";"";"";"";"";"Vishay";"";"";"CRCW06034K70JNEAC";"";"";"";"1608 Rohm Semiconductor";"";"None";"";"";"";"";
"R22";"CRCW040210K0FKEDC";"CRCW040210K0FKEDC";"RESC1005X35N";"RES SMD 10K OHM 1% 1/16W 0402";"Unavailable";"";"";"";" Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW040210K0FKEDC";"";"";"";"1005 Yageo";"";"None";"";"";"";"";
"R23";"CRCW040210K0FKEDC";"CRCW040210K0FKEDC";"RESC1005X35N";"RES SMD 10K OHM 1% 1/16W 0402";"Unavailable";"";"";"";" Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW040210K0FKEDC";"";"";"";"1005 Yageo";"";"None";"";"";"";"";
"R24";"CRCW040210K0FKEDC";"CRCW040210K0FKEDC";"RESC1005X35N";"RES SMD 10K OHM 1% 1/16W 0402";"Unavailable";"";"";"";" Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R ";"";"";"";"";"";"Vishay Dale";"";"";"CRCW040210K0FKEDC";"";"";"";"1005 Yageo";"";"None";"";"";"";"";
